,business_code,cust_number,clear_date,posting_date,document_create_date,document_create_date.1,due_date,currency,amount,baseline_create_date,cust_payment_terms
2010,U001,200820380,2019-03-18,2019-03-02,2019-03-01,2019-03-02,2019-03-17,USD,98270.77,2019-03-02,NAA8
2011,U001,200794332,2019-08-27,2019-08-13,2019-08-13,2019-08-13,2019-08-28,USD,32715.47,2019-08-13,NAAX
2014,U001,200761734,2019-05-14,2019-04-30,2019-04-30,2019-04-30,2019-05-15,USD,52424.31,2019-04-30,NAA8
2015,U001,200705742,2019-05-13,2019-04-26,2019-04-25,2019-04-26,2019-05-28,USD,4232.57,2019-04-26,NA32
2017,U001,200780825,2019-02-04,2019-01-17,2019-01-16,2019-01-17,2019-02-01,USD,4831.07,2019-01-17,NAA8
2018,U001,200455322,2019-08-22,2019-07-18,2019-07-16,2019-07-18,2019-08-17,USD,28147.13,2019-07-18,NAD5
2019,U001,200793513,2019-07-23,2019-07-08,2019-07-09,2019-07-08,2019-07-23,USD,48647.33,2019-07-08,NAA8
2022,CA02,140104475,2019-11-19,2019-10-17,2019-10-17,2019-10-17,2019-11-04,CAD,2677.33,2019-10-25,CA10
2024,U001,200769623,2019-10-15,2019-10-02,2019-10-02,2019-10-02,2019-10-17,USD,5507.47,2019-10-02,NAH4
2025,U001,200793568,2019-07-24,2019-07-05,2019-07-05,2019-07-05,2019-07-20,USD,4160.85,2019-07-05,NAA8
2026,U001,200799367,2019-09-09,2019-08-22,2019-08-21,2019-08-22,2019-09-06,USD,2971.98,2019-08-22,NAA8
2027,U001,200778870,2019-08-02,2019-07-13,2019-07-12,2019-07-13,2019-07-28,USD,5930.56,2019-07-13,NAA8
2030,U001,CCU013,2019-12-20,2019-11-20,2019-11-18,2019-11-20,2019-11-20,USD,180.44,2019-11-20,NAX2
2031,U001,200759878,2019-03-25,2019-03-08,2019-03-06,2019-03-08,2019-03-23,USD,14869.3,2019-03-08,NAH4
2032,U001,200148860,2019-04-12,2019-03-28,2019-03-27,2019-03-28,2019-04-12,USD,45191.7,2019-03-28,NAA8
2033,CA02,140104429,2019-09-18,2019-09-02,2019-09-02,2019-09-02,2019-09-13,CAD,9122.12,2019-09-03,CA10
2034,U001,200759878,2019-06-17,2019-05-31,2019-05-30,2019-05-31,2019-06-15,USD,29339.03,2019-05-31,NAH4
2035,U001,200936373,2019-10-30,2019-10-13,2019-10-13,2019-10-13,2019-10-28,USD,608.85,2019-10-13,NAA8
2036,U001,200769623,2019-03-18,2019-02-27,2019-02-26,2019-02-27,2019-03-14,USD,15425.84,2019-02-27,NAH4
2037,CA02,140106408,2020-03-05,2020-02-15,2020-02-15,2020-02-15,2020-02-26,CAD,17628.69,2020-02-16,CA10
2038,U001,200737496,2019-11-06,2019-10-24,2019-10-23,2019-10-24,2019-11-08,USD,26984.52,2019-10-24,NAA8
2039,U001,200707822,2019-10-24,2019-10-09,2019-10-06,2019-10-09,2019-10-24,USD,26195.04,2019-10-09,NAA8
2040,U001,200780383,2019-07-22,2019-07-03,2019-07-03,2019-07-03,2019-07-18,USD,41909.79,2019-07-03,NAA8
2044,CA02,140106408,2019-05-15,2019-04-25,2019-04-25,2019-04-25,2019-05-05,CAD,49423.26,2019-04-25,CA10
2045,U001,200744019,2019-12-26,2019-12-09,2019-12-09,2019-12-09,2019-12-24,USD,72479.01,2019-12-09,NAA8
2046,U001,200148860,2019-04-15,2019-03-30,2019-03-28,2019-03-30,2019-04-14,USD,16459.2,2019-03-30,NAA8
2047,U001,200777735,2019-05-20,2019-05-06,2019-05-05,2019-05-06,2019-05-21,USD,21199.19,2019-05-06,NAA8
2048,U001,200769623,2019-05-06,2019-04-03,2019-04-02,2019-04-03,2019-04-18,USD,52522.56,2019-04-03,NAH4
2049,U001,200759878,2019-12-17,2019-12-01,2019-11-30,2019-12-01,2019-12-16,USD,84407.92,2019-12-01,NAH4
2051,U001,200764795,2020-02-20,2020-02-04,2020-02-01,2020-02-04,2020-02-19,USD,1131.56,2020-02-04,NAA8
2052,U001,CCU013,2019-06-28,2019-05-06,2019-05-06,2019-05-06,2019-05-06,USD,26840.4,2019-05-06,NAX2
2053,U001,200418007,2019-02-06,2019-01-22,2019-01-22,2019-01-22,2019-02-06,USD,37289.78,2019-01-22,NAA8
2055,U001,200727272,2019-06-18,2019-05-30,2019-05-30,2019-05-30,2019-06-14,USD,84554.3,2019-05-30,NAA8
2056,U001,200707741,2019-04-03,2019-03-18,2019-03-18,2019-03-18,2019-04-02,USD,18345.66,2019-03-18,NAA8
2057,U001,200769623,2019-10-31,2019-10-19,2019-10-19,2019-10-19,2019-11-03,USD,1328.25,2019-10-19,NAH4
2058,U001,CCCA02,2019-08-30,2019-07-19,2019-07-19,2019-07-19,2019-08-23,USD,32688.0,2019-07-19,NAG2
2059,U001,200803094,2019-01-17,2019-01-02,2019-01-02,2019-01-02,2019-01-17,USD,10192.52,2019-01-02,NAA8
2060,U001,CCU013,2019-06-28,2019-05-05,2019-05-06,2019-05-05,2019-05-05,USD,14616.72,2019-05-05,NAX2
2061,CA02,140105847,2019-09-03,2019-08-19,2019-08-19,2019-08-19,2019-08-30,CAD,18668.6,2019-08-20,CA10
2062,U001,200769623,2019-08-19,2019-08-07,2019-08-07,2019-08-07,2019-08-22,USD,59771.42,2019-08-07,NAH4
2063,CA02,140106408,2019-01-25,2019-01-02,2019-01-02,2019-01-02,2019-01-14,CAD,19725.65,2019-01-04,CA10
2065,U001,200769623,2020-01-27,2020-01-15,2020-01-15,2020-01-15,2020-01-30,USD,31661.27,2020-01-15,NAH4
2066,U001,200571849,2019-07-31,2019-07-17,2019-07-15,2019-07-17,2019-08-01,USD,65491.24,2019-07-17,NAA8
2067,U001,200148860,2019-07-16,2019-06-30,2019-06-30,2019-06-30,2019-07-15,USD,90429.69,2019-06-30,NAA8
2068,U001,200780383,2019-12-03,2019-11-18,2019-11-18,2019-11-18,2019-12-03,USD,165.03,2019-11-18,NAA8
2070,U001,200337148,2019-05-22,2019-05-07,2019-05-07,2019-05-07,2019-05-22,USD,26955.21,2019-05-07,NAA8
2071,U001,200769623,2019-02-05,2019-01-25,2019-01-24,2019-01-25,2019-02-09,USD,54816.88,2019-01-25,NAH4
2073,U001,200772670,2019-07-08,2019-06-20,2019-06-20,2019-06-20,2019-07-05,USD,25498.73,2019-06-20,NAU5
2074,U001,200769623,2019-06-11,2019-05-25,2019-05-24,2019-05-25,2019-06-09,USD,6559.81,2019-05-25,NAH4
2076,U001,200744019,2019-11-01,2019-10-18,2019-10-17,2019-10-18,2019-11-02,USD,5989.51,2019-10-18,NAA8
2077,U001,100036538,2019-02-14,2019-02-05,2019-02-04,2019-02-05,2019-02-20,USD,1238.6,2019-02-05,NAA8
2078,U001,200739534,2019-04-16,2019-03-31,2019-03-31,2019-03-31,2019-04-15,USD,14367.82,2019-03-31,NAA8
2080,U001,200762301,2019-10-08,2019-09-23,2019-09-21,2019-09-23,2019-10-08,USD,19455.41,2019-09-23,NAC6
2081,U001,200353024,2019-08-08,2019-08-06,2019-08-06,2019-08-06,2019-08-11,USD,28608.0,2019-08-01,NAM2
2082,U001,200020431,2019-11-08,2019-11-05,2019-11-05,2019-11-05,2019-11-11,USD,21901.55,2019-11-01,NAM2
2083,U001,200705742,2019-07-25,2019-07-05,2019-07-05,2019-07-05,2019-08-06,USD,8431.67,2019-07-05,NA32
2084,U001,200761497,2019-05-13,2019-04-23,2019-04-23,2019-04-23,2019-05-08,USD,403.92,2019-04-23,NAA8
2087,U001,200769623,2019-12-19,2019-12-08,2019-12-08,2019-12-08,2019-12-23,USD,49995.03,2019-12-08,NAH4
2088,U001,200744019,2019-03-07,2019-02-15,2019-02-14,2019-02-15,2019-03-02,USD,678.82,2019-02-15,NAA8
2089,U001,CCU013,2020-02-28,2020-01-12,2020-01-08,2020-01-12,2020-01-12,USD,17488.0,2020-01-12,NAX2
2090,U001,200769623,2019-06-07,2019-05-26,2019-05-26,2019-05-26,2019-06-10,USD,63309.58,2019-05-26,NAH4
2092,U001,200759878,2019-09-16,2019-08-29,2019-08-27,2019-08-29,2019-09-13,USD,14181.33,2019-08-29,NAH4
2093,U001,200076137,2019-11-21,2019-11-06,2019-11-04,2019-11-06,2019-11-21,USD,2068.8,2019-11-06,NAA8
2094,CA02,140104429,2019-06-03,2019-05-22,2019-05-23,2019-05-22,2019-06-02,CAD,4670.02,2019-05-23,CA10
2095,CA02,140106408,2019-04-05,2019-03-13,2019-03-13,2019-03-13,2019-03-23,CAD,100362.46,2019-03-13,CA10
2096,CA02,140118168,2019-10-24,2019-09-24,2019-09-24,2019-09-24,2019-10-25,CAD,19440.0,2019-09-25,CA30
2097,U001,200712187,2020-02-21,2020-02-06,2020-02-06,2020-02-06,2020-02-21,USD,87610.38,2020-02-06,NAA8
2098,U001,200780383,2019-08-13,2019-07-29,2019-07-28,2019-07-29,2019-08-13,USD,14833.02,2019-07-29,NAA8
2099,U001,200772670,2019-05-29,2019-05-11,2019-05-11,2019-05-11,2019-05-26,USD,611.99,2019-05-11,NAU5
2100,U001,200769623,2019-01-14,2019-01-03,2019-01-03,2019-01-03,2019-01-18,USD,10496.26,2019-01-03,NAH4
2101,U001,200769623,2019-05-20,2019-05-07,2019-05-06,2019-05-07,2019-05-22,USD,46994.02,2019-05-07,NAH4
2102,U001,200712187,2020-02-26,2020-02-12,2020-02-13,2020-02-12,2020-02-27,USD,8851.88,2020-02-12,NAA8
2103,U001,200777735,2019-08-06,2019-07-22,2019-07-22,2019-07-22,2019-08-06,USD,50250.0,2019-07-22,NAA8
2104,U001,200974851,2020-02-19,2020-01-30,2020-01-30,2020-01-30,2020-02-19,USD,1808.2,2020-01-30,NAD1
2105,U001,200726979,2020-02-18,2020-02-02,2020-02-01,2020-02-02,2020-02-17,USD,962.79,2020-02-02,NAA8
2107,U001,200148860,2019-04-19,2019-04-04,2019-04-04,2019-04-04,2019-04-19,USD,8149.95,2019-04-04,NAA8
2108,U001,200769623,2019-09-18,2019-09-05,2019-09-04,2019-09-05,2019-09-20,USD,8821.65,2019-09-05,NAH4
2110,U001,200230690,2020-02-10,2020-02-03,2020-02-03,2020-02-03,2020-02-08,USD,3028.98,2020-02-01,NAM1
2111,U001,200726979,2019-02-20,2019-02-03,2019-02-02,2019-02-03,2019-02-18,USD,189.92,2019-02-03,NAA8
2113,U001,200779906,2019-05-09,2019-04-23,2019-04-22,2019-04-23,2019-05-08,USD,21346.46,2019-04-23,NAA8
2114,U001,200712105,2019-07-29,2019-07-12,2019-07-11,2019-07-12,2019-07-27,USD,35308.22,2019-07-12,NAA8
2115,U001,200759878,2019-05-20,2019-05-03,2019-05-01,2019-05-03,2019-05-18,USD,15998.54,2019-05-03,NAH4
2116,U001,200769623,2019-07-24,2019-07-14,2019-07-13,2019-07-14,2019-07-29,USD,7070.05,2019-07-14,NAH4
2117,U001,CCCA02,2020-02-28,2020-01-30,2020-01-29,2020-01-30,2020-03-05,USD,15112.5,2020-01-30,NAG2
2119,U001,200772670,2019-04-08,2019-03-24,2019-03-24,2019-03-24,2019-04-08,USD,162728.1,2019-03-24,NAU5
2120,U001,200743996,2019-11-22,2019-11-07,2019-11-06,2019-11-07,2019-11-22,USD,113707.02,2019-11-07,NAA8
2121,U001,200739534,2019-04-05,2019-03-18,2019-03-18,2019-03-18,2019-04-02,USD,112760.58,2019-03-18,NAA8
2122,U001,200706844,2019-09-27,2019-09-12,2019-09-10,2019-09-12,2019-09-27,USD,49182.97,2019-09-12,NAA8
2123,U001,140142846,2019-05-30,2019-03-29,2019-03-26,2019-03-29,2019-05-28,USD,3514.05,2019-03-29,NACB
2124,U001,200771157,2019-06-10,2019-04-05,2019-04-04,2019-04-05,2019-06-09,USD,12816.25,2019-04-05,NAGD
2125,U001,200706844,2019-04-10,2019-03-25,2019-03-24,2019-03-25,2019-04-09,USD,23478.02,2019-03-25,NAA8
2127,U001,200769623,2019-07-08,2019-06-21,2019-06-20,2019-06-21,2019-07-06,USD,1035.15,2019-06-21,NAH4
2128,U001,200769623,2019-09-12,2019-08-28,2019-08-26,2019-08-28,2019-09-12,USD,15691.14,2019-08-28,NAH4
2130,CA02,140104429,2019-03-11,2019-02-27,2019-02-27,2019-02-27,2019-03-10,CAD,8005.76,2019-02-28,CA10
2131,U001,200895843,2019-11-30,2019-11-13,2019-11-13,2019-11-13,2019-11-28,USD,12584.17,2019-11-13,NAA8
2132,U001,CCU013,2020-02-28,2020-01-21,2020-01-21,2020-01-21,2020-01-21,USD,13662.89,2020-01-21,NAX2
2136,U001,200769623,2019-02-11,2019-01-30,2019-01-27,2019-01-30,2019-02-14,USD,15581.68,2019-01-30,NAH4
2138,U001,200769623,2019-07-05,2019-06-24,2019-06-22,2019-06-24,2019-07-09,USD,3464.67,2019-06-24,NAH4
2139,U001,200769623,2019-12-30,2019-12-12,2019-12-11,2019-12-12,2019-12-27,USD,25929.17,2019-12-12,NAH4
2140,U001,200769623,2019-06-18,2019-06-06,2019-06-06,2019-06-06,2019-06-21,USD,485.06,2019-06-06,NAH4
2142,U001,200726979,2019-10-21,2019-10-04,2019-10-03,2019-10-04,2019-10-19,USD,791.13,2019-10-04,NAA8
2143,U001,200782001,2019-09-06,2019-08-21,2019-08-14,2019-08-21,2019-09-22,USD,12482.28,2019-08-21,NA32
2144,U001,200900909,2019-02-11,2019-01-26,2019-01-23,2019-01-26,2019-02-10,USD,5971.33,2019-01-26,NAA8
2146,U001,200732755,2019-09-16,2019-08-31,2019-08-30,2019-08-31,2019-09-15,USD,28108.29,2019-08-31,NAA8
2147,U001,200769623,2019-01-16,2018-12-31,2018-12-30,2018-12-31,2019-01-15,USD,64767.51,2018-12-31,NAH4
2148,U001,200769623,2019-08-27,2019-08-17,2019-08-16,2019-08-17,2019-09-01,USD,65388.59,2019-08-17,NAH4
2149,U001,200776463,2020-01-27,2020-01-10,2020-01-10,2020-01-10,2020-01-25,USD,19211.75,2020-01-10,NAA8
2150,U001,CCU013,2019-09-27,2019-08-23,2019-08-19,2019-08-23,2019-08-23,USD,906.65,2019-08-23,NAX2
2151,U001,200560331,2019-09-20,2019-06-22,2019-06-20,2019-06-22,2019-09-20,USD,68477.4,2019-06-22,NAVM
2153,U001,200769623,2019-04-08,2019-03-26,2019-03-26,2019-03-26,2019-04-10,USD,485.06,2019-03-26,NAH4
2154,U001,200793568,2019-05-15,2019-04-26,2019-04-27,2019-04-26,2019-05-11,USD,76338.74,2019-04-26,NAA8
2158,U001,200769623,2019-08-08,2019-07-27,2019-07-27,2019-07-27,2019-08-11,USD,23781.5,2019-07-27,NAH4
2159,U001,200418007,2019-06-12,2019-05-28,2019-05-23,2019-05-28,2019-06-12,USD,33324.96,2019-05-28,NAA8
2161,U001,200769623,2019-05-17,2019-05-06,2019-05-05,2019-05-06,2019-05-21,USD,65696.35,2019-05-06,NAH4
2162,U001,200772670,2019-02-06,2019-01-23,2019-01-23,2019-01-23,2019-02-07,USD,18834.14,2019-01-23,NAU5
2163,U001,200679800,2019-12-31,2019-12-17,2019-12-17,2019-12-17,2020-01-01,USD,14262.08,2019-12-17,NAA8
2164,U001,200794332,2019-08-07,2019-07-24,2019-07-23,2019-07-24,2019-08-08,USD,42013.63,2019-07-24,NAAX
2165,U001,200769623,2019-08-21,2019-08-03,2019-08-02,2019-08-03,2019-08-18,USD,10454.46,2019-08-03,NAH4
2166,U001,200803720,2019-07-24,2019-07-23,2019-07-23,2019-07-23,2019-07-23,USD,5447.56,2019-07-16,NAM1
2168,U001,200769623,2019-02-05,2019-01-25,2019-01-25,2019-01-25,2019-02-09,USD,27465.9,2019-01-25,NAH4
2169,CA02,140104440,2019-10-31,2019-10-13,2019-10-13,2019-10-13,2019-10-28,CAD,269673.37,2019-10-18,CA10
2170,U001,200337148,2019-03-29,2019-03-14,2019-03-15,2019-03-14,2019-03-29,USD,53050.77,2019-03-14,NAA8
2171,U001,200759878,2019-03-21,2019-03-06,2019-03-04,2019-03-06,2019-03-21,USD,24543.91,2019-03-06,NAH4
2173,U001,200769623,2019-10-30,2019-10-20,2019-10-18,2019-10-20,2019-11-04,USD,1897.5,2019-10-20,NAH4
2174,U001,200726979,2019-05-22,2019-05-07,2019-05-06,2019-05-07,2019-05-22,USD,130.62,2019-05-07,NAA8
2175,U001,200744019,2019-06-21,2019-06-05,2019-06-04,2019-06-05,2019-06-20,USD,15951.48,2019-06-05,NAA8
2176,U001,200769623,2019-05-28,2019-05-16,2019-05-14,2019-05-16,2019-05-31,USD,20061.52,2019-05-16,NAH4
2179,U001,200571849,2020-02-12,2020-01-28,2020-01-28,2020-01-28,2020-02-12,USD,16168.67,2020-01-28,NAA8
2180,U001,200229974,2019-11-04,2019-10-25,2019-10-24,2019-10-25,2019-11-09,USD,14944.02,2019-10-25,NAA8
2181,U001,200434439,2019-02-12,2019-01-22,2019-01-22,2019-01-22,2019-02-23,USD,85548.3,2019-01-22,NA32
2182,U001,200769623,2019-09-12,2019-09-02,2019-08-31,2019-09-02,2019-09-17,USD,22518.27,2019-09-02,NAH4
2185,U001,CCCA02,2019-08-30,2019-07-31,2019-07-30,2019-07-31,2019-09-04,USD,89543.04,2019-07-31,NAG2
2186,U001,200152991,2019-08-13,2019-07-24,2019-07-24,2019-07-24,2019-08-08,USD,221.57,2019-07-24,NAA8
2187,U001,200752302,2019-05-06,2019-04-21,2019-04-21,2019-04-21,2019-05-06,USD,15660.27,2019-04-21,NAA8
2190,U001,200769623,2020-01-27,2020-01-16,2020-01-10,2020-01-16,2020-01-31,USD,5256.15,2020-01-16,NAH4
2191,U001,200406153,2020-02-07,2020-01-16,2020-01-16,2020-01-16,2020-01-31,USD,5194.47,2020-01-16,NAA8
2192,U001,200900909,2019-06-03,2019-05-16,2019-05-17,2019-05-16,2019-05-31,USD,6377.85,2019-05-16,NAA8
2193,U001,200769623,2019-04-23,2019-04-12,2019-04-11,2019-04-12,2019-04-27,USD,1897.5,2019-04-12,NAH4
2194,U001,200769623,2019-03-04,2019-02-21,2019-02-20,2019-02-21,2019-03-08,USD,6708.89,2019-02-21,NAH4
2196,U001,200915438,2019-05-08,2019-04-23,2019-04-18,2019-04-23,2019-05-08,USD,2969.28,2019-04-23,NAA8
2197,U001,200152991,2020-02-25,2020-02-10,2020-02-10,2020-02-10,2020-02-25,USD,2977.68,2020-02-10,NAA8
2198,U001,200759878,2019-05-24,2019-05-09,2019-05-08,2019-05-09,2019-05-24,USD,85219.23,2019-05-09,NAH4
2199,U001,200769623,2020-03-25,2020-02-18,2020-02-16,2020-02-18,2020-03-04,USD,1372.54,2020-02-18,NAH4
2200,CA02,140106408,2019-10-09,2019-09-15,2019-09-16,2019-09-15,2019-09-26,CAD,17140.84,2019-09-16,CA10
2201,U001,200148860,2019-08-29,2019-08-13,2019-08-13,2019-08-13,2019-08-28,USD,6252.5,2019-08-13,NAA8
2202,U001,200705742,2019-03-21,2019-03-06,2019-03-06,2019-03-06,2019-03-21,USD,7972.53,2019-03-06,NAA8
2203,U001,CCU002,2020-02-28,2020-01-11,2020-01-09,2020-01-11,2020-02-15,USD,9131.52,2020-01-11,NAG2
2204,U001,200794332,2019-08-06,2019-07-23,2019-07-21,2019-07-23,2019-08-07,USD,2012.05,2019-07-23,NAAX
2207,U001,200769623,2019-08-30,2019-08-19,2019-08-19,2019-08-19,2019-09-03,USD,1328.25,2019-08-19,NAH4
2209,U001,200783734,2019-10-01,2019-09-17,2019-09-17,2019-09-17,2019-10-02,USD,166927.1,2019-09-17,NAA8
2210,U001,200974851,2019-02-06,2019-01-22,2019-01-22,2019-01-22,2019-02-06,USD,2476.42,2019-01-22,NAA8
2211,U001,200742521,2019-11-13,2019-10-24,2019-10-24,2019-10-24,2019-11-08,USD,7551.0,2019-10-24,NAA8
2212,U001,200772595,2020-02-11,2020-01-27,2020-01-25,2020-01-27,2020-02-11,USD,74847.74,2020-01-27,NAA8
2215,U001,200020431,2019-09-16,2019-09-10,2019-09-10,2019-09-10,2019-09-24,USD,6716.49,2019-09-01,NAM4
2216,U001,200769623,2019-03-06,2019-02-24,2019-02-23,2019-02-24,2019-03-11,USD,34303.5,2019-02-24,NAH4
2217,U013,140103409,2019-07-26,2019-06-27,2019-06-23,2019-06-27,2019-07-27,USD,2869.64,2019-06-27,NAVE
2218,U001,200769623,2020-01-15,2020-01-04,2020-01-04,2020-01-04,2020-01-19,USD,943.12,2020-01-04,NAH4
2219,U001,200020431,2019-02-13,2019-02-08,2019-02-08,2019-02-08,2019-02-08,USD,30102.73,2019-02-01,NAM1
2220,CA02,140104440,2019-08-21,2019-08-06,2019-08-06,2019-08-06,2019-08-17,CAD,3171.9,2019-08-07,CA10
2221,U001,200769623,2019-11-19,2019-11-08,2019-11-08,2019-11-08,2019-11-23,USD,14797.03,2019-11-08,NAH4
2222,U001,200769623,2019-07-01,2019-06-19,2019-06-19,2019-06-19,2019-07-04,USD,1356.55,2019-06-19,NAH4
2223,U001,CCU013,2019-11-27,2019-10-01,2019-10-01,2019-10-01,2019-10-01,USD,15480.1,2019-10-01,NAX2
2224,U001,200772670,2019-08-27,2019-08-12,2019-08-12,2019-08-12,2019-08-27,USD,1812.83,2019-08-12,NAU5
2225,U001,200794332,2020-03-10,2020-02-25,2020-02-23,2020-02-25,2020-03-11,USD,34997.69,2020-02-25,NAAX
2226,U001,200712187,2019-09-03,2019-08-20,2019-08-20,2019-08-20,2019-09-04,USD,59224.44,2019-08-20,NAA8
2227,U001,200230690,2019-08-07,2019-08-05,2019-08-05,2019-08-05,2019-08-11,USD,22712.64,2019-08-01,NAM2
2229,U001,200799538,2019-09-18,2019-08-30,2019-08-31,2019-08-30,2019-09-14,USD,84951.68,2019-08-30,NAA8
2230,U013,140103278,2020-04-30,2020-02-26,2020-02-24,2020-02-26,2020-04-26,USD,17368.7,2020-02-26,NAUZ
2231,U001,200769623,2019-11-04,2019-10-24,2019-10-23,2019-10-24,2019-11-08,USD,863.48,2019-10-24,NAH4
2232,U001,200793568,2020-02-21,2020-02-06,2020-02-05,2020-02-06,2020-02-21,USD,3023.49,2020-02-06,NAA8
2233,U001,200936615,2019-04-17,2019-04-05,2019-04-05,2019-04-05,2019-06-04,USD,28820.0,2019-04-05,NAVQ
2234,U001,200776463,2019-10-29,2019-10-14,2019-10-14,2019-10-14,2019-10-29,USD,120554.95,2019-10-14,NAA8
2236,U001,200731119,2019-11-04,2019-09-03,2019-09-03,2019-09-03,2019-11-02,USD,62089.98,2019-09-03,NAVQ
2237,U001,200148860,2019-06-25,2019-06-10,2019-06-08,2019-06-10,2019-06-25,USD,17968.32,2019-06-10,NAA8
2238,U001,200726979,2019-12-11,2019-11-26,2019-11-25,2019-11-26,2019-12-11,USD,119.24,2019-11-26,NAA8
2240,U001,200781803,2019-07-15,2019-06-24,2019-06-24,2019-06-24,2019-07-14,USD,10909.52,2019-06-24,NAD1
2241,U001,200726979,2019-11-19,2019-11-04,2019-11-03,2019-11-04,2019-11-19,USD,357.26,2019-11-04,NAA8
2242,U001,200763489,2019-05-22,2019-05-06,2019-05-06,2019-05-06,2019-05-21,USD,294.55,2019-05-06,NAA8
2243,U001,200769623,2019-06-05,2019-05-17,2019-05-16,2019-05-17,2019-06-01,USD,3610.25,2019-05-17,NAH4
2244,U001,200744019,2019-04-10,2019-02-27,2019-02-23,2019-02-27,2019-03-14,USD,14579.53,2019-02-27,NAA8
2245,U001,200406153,2019-07-09,2019-06-19,2019-06-19,2019-06-19,2019-07-04,USD,6114.0,2019-06-19,NAA8
2247,U001,200416837,2019-05-16,2019-05-09,2019-05-09,2019-05-09,2019-05-24,USD,3877.81,2019-05-01,NAM4
2248,U001,100050342,2019-10-23,2019-09-30,2019-09-29,2019-09-30,2019-10-15,USD,16138.6,2019-09-30,NAA8
2249,U001,200772670,2019-08-01,2019-07-16,2019-07-16,2019-07-16,2019-07-31,USD,137722.98,2019-07-16,NAU5
2250,U001,200772670,2019-06-25,2019-06-07,2019-06-07,2019-06-07,2019-06-22,USD,16829.64,2019-06-07,NAU5
2251,U001,200749782,2019-10-24,2019-10-09,2019-10-09,2019-10-09,2019-10-24,USD,59114.15,2019-10-09,NAA8
2252,U001,100030964,2019-10-11,2019-10-04,2019-10-04,2019-10-04,2019-10-19,USD,3657.0,2019-10-04,NAA8
2253,U001,200769623,2019-04-29,2019-04-15,2019-04-16,2019-04-15,2019-04-30,USD,3612.31,2019-04-15,NAH4
2254,U001,200729290,2019-04-08,2019-03-22,2019-03-22,2019-03-22,2019-04-06,USD,64724.62,2019-03-22,NAA8
2255,U001,200705742,2020-02-25,2020-02-10,2020-02-10,2020-02-10,2020-02-25,USD,926.11,2020-02-10,NAA8
2256,U001,200769623,2019-03-20,2019-03-09,2019-03-08,2019-03-09,2019-03-24,USD,7378.06,2019-03-09,NAH4
2257,CA02,140105686,2019-07-04,2019-06-20,2019-06-20,2019-06-20,2019-07-07,CAD,823.2,2019-06-27,CA10
2258,CA02,140104409,2019-12-06,2019-11-21,2019-11-21,2019-11-21,2019-12-05,CAD,87361.21,2019-11-25,CA10
2259,U001,200799367,2019-12-30,2019-12-12,2019-12-09,2019-12-12,2019-12-27,USD,33733.9,2019-12-12,NAA8
2261,U001,200761734,2019-09-09,2019-08-24,2019-08-23,2019-08-24,2019-09-08,USD,4225.5,2019-08-24,NAA8
2262,U001,200792293,2019-11-29,2019-11-14,2019-11-13,2019-11-14,2019-11-29,USD,50876.69,2019-11-14,NAA8
2263,U001,200793568,2019-03-22,2019-03-07,2019-03-07,2019-03-07,2019-03-22,USD,149520.97,2019-03-07,NAA8
2264,U001,200726979,2019-03-11,2019-02-24,2019-02-23,2019-02-24,2019-03-11,USD,257.06,2019-02-24,NAA8
2265,U001,200705742,2019-06-14,2019-05-30,2019-05-30,2019-05-30,2019-06-14,USD,974.1,2019-05-30,NAA8
2267,U001,200357714,2019-10-02,2019-09-11,2019-09-06,2019-09-11,2019-10-01,USD,20151.89,2019-09-11,NAD1
2268,U001,200707005,2019-12-20,2019-12-05,2019-12-04,2019-12-05,2019-12-20,USD,14728.6,2019-12-05,NAA8
2269,U001,200705742,2019-12-12,2019-11-27,2019-11-25,2019-11-27,2019-12-12,USD,2707.96,2019-11-27,NAA8
2270,U001,200769623,2019-09-23,2019-09-11,2019-09-10,2019-09-11,2019-09-26,USD,11811.32,2019-09-11,NAH4
2271,CA02,140104340,2019-06-27,2019-06-13,2019-06-13,2019-06-13,2019-06-23,CAD,93737.7,2019-06-13,CA10
2273,U001,200769623,2019-06-27,2019-06-17,2019-06-17,2019-06-17,2019-07-02,USD,623.68,2019-06-17,NAH4
2274,U001,200772670,2019-08-28,2019-08-13,2019-08-13,2019-08-13,2019-08-28,USD,74144.37,2019-08-13,NAU5
2275,U001,200820380,2019-03-26,2019-03-11,2019-03-09,2019-03-11,2019-03-26,USD,84280.32,2019-03-11,NAA8
2276,U001,200782669,2019-09-16,2019-08-30,2019-08-29,2019-08-30,2019-09-14,USD,12573.43,2019-08-30,NAA8
2278,U001,200769623,2020-01-21,2020-01-07,2020-01-06,2020-01-07,2020-01-22,USD,1454.45,2020-01-07,NAH4
2279,U001,200759878,2019-07-09,2019-06-22,2019-06-22,2019-06-22,2019-07-07,USD,26751.67,2019-06-22,NAH4
2280,U001,200705742,2019-11-12,2019-10-25,2019-10-24,2019-10-25,2019-11-09,USD,12.31,2019-10-25,NAA8
2281,U001,200418007,2019-05-28,2019-05-12,2019-05-11,2019-05-12,2019-05-27,USD,48644.73,2019-05-12,NAA8
2282,U001,200776463,2020-03-04,2020-02-18,2020-02-18,2020-02-18,2020-03-04,USD,2382.55,2020-02-18,NAA8
2283,U001,200749730,2019-11-12,2019-09-27,2019-09-23,2019-09-27,2019-10-12,USD,21567.13,2019-09-27,NAA8
